12024-07-11 23:31:16,427 - INFO - Watching for file changes with StatReloader
2024-07-11 23:31:17,390 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\rest_framework\relations.py first seen with mtime 1715528787.012918
2024-07-11 23:31:17,392 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\urllib\__init__.py first seen with mtime 1712151358.222852
2024-07-11 23:31:17,392 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1715685381.429922
2024-07-11 23:31:17,393 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\xml\dom\xmlbuilder.py first seen with mtime 1694627236.8962188
2024-07-11 23:31:17,394 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\MySQLdb\release.py first seen with mtime 1715772255.2545917
2024-07-11 23:31:17,394 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\allauth\core\context.py first seen with mtime 1716297820.6488378
2024-07-11 23:31:17,395 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\DLLs\_asyncio.pyd first seen with mtime 1712151362.6533608
2024-07-11 23:31:17,395 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\template\library.py first seen with mtime 1715685381.7277117
2024-07-11 23:31:17,396 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1715685377.8652673
2024-07-11 23:31:17,397 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1715685381.3056335
2024-07-11 23:31:17,398 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\email\encoders.py first seen with mtime 1694627234.0527022
2024-07-11 23:31:17,398 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\charset_normalizer\md__mypyc.cp311-win_amd64.pyd first seen with mtime 1715683752.8889248
2024-07-11 23:31:17,399 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1715685377.056013
